name,from,address,square_metre,price,type,rooms_amount,link
Nyoppusset leilighet for utleie. Strøm inkludet i leien,Privat,Laksevåg,28,14500,Hybel,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310385247
"NHH/Ytre Sandviken: Kort gangavstand! Stor møblert 3-roms leilighet. Oppvarming, varmtvann, Internett og kabel-TV inkl.",Hybel.no,"Skytterveien 16, Bergen",93,7750,Rom i bofellesskap,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=296442040
Enebolig med hage ved sjøen i Sandviken,Privat,"SANDVIKSVEIEN 169, Bergen",110,23000,Enebolig,3 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=85441693
Kjellerhybel til leie sentralt på Straume,Privat,Straume,40,9500,Hybel,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310369415
Nyoppusset toppleilighet på Kronstad,Privat,"Hunstadsvingen 13 g, Bergen",90,26000,Leilighet,4 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310369472
Lys og trivelig leilighet med god utsikt og gode solforhold,Privat,"Glasskaret 37,, Øvre Ervik",65,12000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310327645
Nyoppusset leil. med 2/3 soverom | Fiber inkl. | Strøkent bad og nytt kjøkken | Sentral beliggenhet,Privat,"HORDAGATEN 20, Bergen",69,15990,Leilighet,3 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=278350401
Leilighet i Sandviken med nydelig utsikt.,Privat,Bergen,120,20000,Leilighet,3 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=123006485
Rom i bofelleskap,Privat,"Welhavens gate 52, Bergen",9,5650,Rom i bofellesskap,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310300891
Lys og pen 3-roms leilighet over to etasjer med ekstra disp.rom i kjeller.,Utleiemegleren Bergen,"Stephansens veg 87, Espeland",104,9500,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310369729
"Flott rom i nyoppusset leilighet. Rolig. Sentralt. Nær HVL, BI og Haukeland - Ledig fra 1/8/23",Privat,"LAURA GUNDERSENS GATE 9 B, Bergen",11,5690,Rom i bofellesskap,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=184693691
Leilighet til leie sentralt på Frekhaug,Privat,"Elvavegen 34 2. etg., Frekhaug",60,11000,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=115412171
Koselig loftsleilighet rett ved hvl og bybanen.,Privat,"FINNBERGÅSEN 86, Bergen",45,9900,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310363544
"Flotte rom i nyoppusset leilighet 2. Rolig. Sentralt. Nær HVL, BI og Haukeland",Privat,"LAURA GUNDERSENS GATE 9 B, Bergen",10,5790,Rom i bofellesskap,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=140726468
Moderne og nyoppusset leilighet leies ut (Strøm inkludert),Privat,"Arne Garborgsgate 1, Bergen",50,10000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=289949053
2 rom leies ut i bofellskap,Privat,"Vestre torggaten 16, Bergen",7,6000,Rom i bofellesskap,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310360876
"2 etasjers leilighet, 3 roms - Sentral og god beliggenhet",Privat,"Michael Krohns gate 28, Bergen",58,16000,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310328452
Innflytningsklart rekkehus - 3 soverom - 2 bad - 2 disponible rom,Privat,"Søre Renen 26, Bergen",131,18000,Rekkehus,3 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=224409053
Supersentral 4-roms leilighet med hage i Kleppestø - Langtidsleie,Privat,"Klampavikvegen 6, Kleppestø",110,15000,Leilighet,3 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310315683
Flott 3-roms leilighet under oppussing! Helt strøken og klar til leie fra 01.08.2023. Sentral beliggenhet.,Privat,"Øvre Stadionveien 106, Laksevåg",63,15500,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310344568
Rom i bofellesskap,Privat,"C Sundts Gate 26,, Bergen",6,5167,Rom i bofellesskap,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310350700
"Billig, rimelig og rolig,hybel til leie for dame",Privat,"LERKERINDEN 57, Bergen",11,4800,Hybel,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=72368008
Lager/oppstillingsplass,Privat,"Sentralt på Kleppestø, Kleppestø",3,600,Garasje/Parkering,,https://www.finn.no/realestate/lettings/ad.html?finnkode=253921622
Flotte rom i bofellesskap på Minde. Nær bybane og Høyskole osv,Privat,"Løbergstien 3, Bergen",10,5300,Rom i bofellesskap,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=225137920
Hybel til leie på Varden i Fyllingsdalen .,Privat,"Vardesvingen 48 C, Fyllingsdalen",30,8000,Hybel,,https://www.finn.no/realestate/lettings/ad.html?finnkode=166676284
Koselig kjeller studio i hjertet av Sandviken,Privat,"Jens rolfsensgate 8, Bergen",22,7500,Andre,,
Koselig sokkelleilighet sentralt på Minde/Wergeland,Privat,Bergen,68,12000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310250058
Sentral leilighet med to store soverom og kort vei til UiB.,Privat,"Torborg Nedreaas' gate 12, Bergen",73,18000,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310311854
"Leilighet - 2 roms, Hordagaten 54, Bergen",Hybel.no,"Hordagaten 54, Bergen",38,12000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310330479
Nyoppusset 3-roms leies ut rett ved Damsgård Hovedgård! -Internett inkludert!,Privat,"Lille Damsgårdsveien 8, Laksevåg",54,15500,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310316021
Romslig halvpart av tomannsbolig til leie i Kristian Bingsvei 5 - Perfekt for komfortabelt boende!,Hybel.no,"Kristian Bings Vei 5, Bergen",130,24000,Leilighet,5 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310329200
"Lys og fin leilighet, gangavstand sentrum /UIB.",Privat,"Strandlien, Bergen",75,14500,Leilighet,3 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310318932
Ledig stor rom nær Medisinsk og Tannlege fakultet,Hybel.no,"Svartediksveien 8, Bergen",15,6000,Rom i bofellesskap,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310323982
"Rom i bofellesskap, Svartediksveien 8, Bergen",Hybel.no,"Svartediksveien 8, Bergen",14,5900,Rom i bofellesskap,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310323428
Ledig rom i jentekolektiv fra 01.08.2023 med stor stue og kjokken,Hybel.no,"Svartediksvei 8, Bergen",8,4500,Rom i bofellesskap,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310323358
Romslig ny restaurert leilighet til leie.,Privat,"Sperrevikveien 141, Lysekloster",72,10700,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=203848004
"Rom i bofelleskap, Sentrum v Fløybanen",Privat,"Nedre Fjellsmug 6, Bergen",11,5200,Rom i bofellesskap,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=80257966
"Sentrum v Fløybanen, rom i bofelleskap",Privat,"NEDRE FJELLSMAUET 6, Bergen",12,5200,Rom i bofellesskap,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=120827251
NYHAVN - Flott møblert leilighet med 3 soverom rett ved NHH,Utleiemegleren Bergen,"Hegrenesveien 12 A, Bergen",90,18000,Leilighet,3 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310305298
Til leie 100 meter fra handelshøyskolen/ uteplass/p-plass,Privat,"Jægerbakken 37, Bergen",60,14500,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310300569
Ny og møblert i sentrum - Ingen husleie mellom 15.06 til 15.08,Hybel.no,"Borgermester Platous Gate 7, Bergen",50,17000,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310302516
Ny og møblert i sentrum - Ingen husleie 15.06 til 15.08,Hybel.no,"Borgermester Platous Gate 7, Bergen",40,15900,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310301421
3 nye leiligheter + et lite hus på Skansen - høy standard.,Privat,"Nedre Blekeveien 6, Bergen",22,9000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=211674451
Nyoppussede leiligheter i sentrum - Ingen husleie fra 15.06 til 15.08,Hybel.no,"Borgermester Platous Gate 7, Bergen",35,14900,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310300582
"Stor 4roms leilighet, 2 etasje, 10 min gange til sentrum",Privat,"KIRKEGATEN 17, Bergen",86,18000,Leilighet,3 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=96550832
Nygårdshøyden,Privat,Bergen,63,11000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=306399905
Leilighet Bergen sentrum,Privat,"Sydnesgaten 13, Bergen",52,14400,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310285118
"Stor leilighet i 1. etg. med 2 soverom til leie. Sentral beliggenhet, med kort gåavstand til Sartor og bussterminal.",Privat,"Bildøyvegen 19, Straume",66,13500,Leilighet,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=309127264
Koselig 2 roms kjellerleilighet møblert tilleie strøm og internett og TV.inkludert i leien. Gode bussforbindelser.,Privat,"Støaleitet 8, Straume",40,10000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=262141739
Enebolig i Kleppestø med fantastisk utsikt mot Bergen,Privat,"Kleppestøskjenet 14, Kleppestø",125,18500,Enebolig,5 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310281413
Rom til utleie i Sandviken,Privat,"SØNDRE ALLMENNINGEN 16, Bergen",8,5000,Rom i bofellesskap,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310232448
"Ledige rom fra kr 4950 pr måned. Populære rom inkl trening, for studenter sentralt i starten av Nordnes.",Privat,"Nøstegaten 95, Bergen",10,4950,Rom i bofellesskap,2 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=164281467
Stort rom i leilighet m/fantastisk utsikt over Bergensdalen og parkering*,Hybel.no,"Søndre Skogveien 117, Bergen",11,7500,Rom i bofellesskap,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310277466
Leilighet på Nordnes,Privat,"Bretterne 2, Bergen",44,13000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=304867374
Soverom i kollektiv like ved HVL. Inkludert strøm og bredbånd. (3 ledige rom),Privat,"Hjelms vei 15, Bergen",7,6500,Rom i bofellesskap,4 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=224836767
Rekkehus på Landås,Privat,"Nordahl Rolfsens veg 12f, Bergen",100,20000,Rekkehus,4 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=121591808
Rom i Solheimslien,Privat,"SOLHEIMSLIEN 42, Bergen",14,6400,Rom i bofellesskap,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=158027666
Leilighet med panoramautsikt,Privat,Bergen,48,15500,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=310064054
Leilighet på Nordnes - idyll i sentrum,Privat,"skottegaten 19, Bergen",35,12800,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=132887712
"Toppleilighet med hems (+8kvm) rett ved Bryggen, fullt møblert og wifi inkludert",Privat,"NEDRE STØLEN 2, Bergen",26,13000,Leilighet,1 soverom,https://www.finn.no/realestate/lettings/ad.html?finnkode=194891911
