name,from,address,square_metre,price,type,rooms_amount,link
"Ny 4-roms, sentral beliggenhet, møblert, høy standard, stor balkong. 4. etasje m/heis - korttidsleie mulig",Privat,"Malmøgata 2, Oslo",80,33000,Leilighet,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=277268601
Møblert kjellerleilighet leies ut på Grefsen,Privat,"Brannvaktveien 23A, Oslo",37,14000,Hybel,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=223135428
Romslig hybel med idyllisk beliggenhet - marka som nabo! Strøm inkl.,Privat,"Stjerneveien 25A, Oslo",30,8900,Hybel,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=135789070
Ny 2-roms i Clemenskvartalet i Bjørvika ledig fra 1.september 2023 - Fullt møblert & fast pris,Privat,"Rostockgata 98, Oslo",40,21000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=289621131
4 soverom i eget bofellesskap i Oslo,Privat,Oslo,11,6900,Rom i bofellesskap,4,https://www.finn.no/realestate/lettings/ad.html?finnkode=310470514
Rom til leie i moderne leilighet mellom Barcode og Ekerbergparken | Tilgjenglig 1. August,Privat,"Alnagata 16, Oslo",52,9000,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=310461977
Biloppstillingsplass Solli Plass/Skillebekk. Mulighet for lader til EL-bil.,Privat,"Drammensveien 54 A, Oslo",10,2500,Garasje/Parkering,0,https://www.finn.no/realestate/lettings/ad.html?finnkode=310492145
Fredensborg - Svært sentral 3-roms leilighet nær Vulkan og St. Hanshaugen- God takhøyde - Inkl. varmtvann,Privat,"Fredensborgveien 14D, Oslo",53,24000,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=265787658
Rom i bofellesskap,Privat,"Frydenlundgata, Oslo",51,10000,Rom i bofellesskap,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=310488336
Koselig hybel til leie på Høyenhall,Privat,Oslo,42,9600,Hybel,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=218331514
Nytt Sentralt!! Super strøkent (jente-bokollektiv) 3 min fra Karl Johan/OsloMet!,Privat,"LANGES GATE 9, Oslo",13,8900,Rom i bofellesskap,8,https://www.finn.no/realestate/lettings/ad.html?finnkode=310480381
Rom til leie sentralt i Oslo,Privat,"HEIMDALSGATA 21, Oslo",7,8000,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=307024242
"Korttidsutleie: Attraktiv, lys og luftig 3-roms leilighet med solrik balkong.",Privat,"Ole Vigs gate 21B, Oslo",73,29500,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=271383548
Grünerløkka: Populære rom i pent bofellesskap (to rom igjen),Privat,"Sverdrups gate 18, Oslo",10,8000,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=117978948
Room for rent,Privat,"Linjeveien 10 a 1084 Oslo, Oslo",1,5300,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=305466559
Hyggelig rom midt på Carl Berner!,Privat,"GRENSEVEIEN 9 E, Oslo",15,8900,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=76761807
Ledig rom i hyggelig jente-kollektiv (enebolig) - 3 ledige rom - visning 15.06.2023 kl. 11-12:30,Hybel.no,"Høyenhallveien 11C, Oslo",20,5000,Rom i bofellesskap,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=293101850
Oppvarmet parkeringsplass til leie!,Privat,"Darres gate 10, Oslo",12,1500,Garasje/Parkering,0,https://www.finn.no/realestate/lettings/ad.html?finnkode=310477533
Delvis møblert 3-roms leilighet sentralt på Skøyen til leie fra september,Privat,"Hoffsveien 6a, Oslo",64,20000,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=135756822
